Text Instruction,Input Image,flag,username,timestamp
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/6986fb10b968dac14cc75b200fa75061fad15b62/tmp_4uwg9e3.jpg,,,2025-03-08 09:54:07.524345
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/886fda3b9d930a04bbe586414fab3a3e285f9210/tmp2mfb7fjs.jpg,,,2025-03-08 09:54:58.467946
Are inflammatory cells surrounding necrotic tumor regions indicating an inflammatory response present? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/59e6d4d6afbbe4540bc8f5e7c33d0bd20f040f0a/tmplerx966t.jpg,,,2025-03-08 09:56:53.793367
Where are the areas with concentrated inflammatory cells located? Please output segmentation mask and explain why.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/508eefd5b2b5047114201b6ab945c8b24f7509f4/tmpgullxpg8.jpg,,,2025-03-08 09:57:01.223824
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/a627dc7cd6b0d454d40d1bfe86f3651376feacf4/tmpv0sw9zr7.jpg,,,2025-03-08 10:17:43.011500
Where are the areas with concentrated inflammatory cells located? Please output segmentation mask and explain why.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/7d409241f5929f4fc1edf43ae2fd64ffab9eab01/tmpuxsa9tq4.jpg,,,2025-03-08 10:18:33.564086
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/21b264f5c6b4885a4f1cb6868ea6c6547c55815f/tmpfst0spfl.jpg,,,2025-03-08 10:19:18.405775
How do glandular structures vary between papillary and tubular areas in this sample? Please output the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/af5afe6e857153232cc484f2e255d7703cf9134b/tmp550vi7_f.jpg,,,2025-03-08 10:23:28.719334
"Are there regions in this image where cells appear loosely clustered or show increased intercellular spacing, and how might these characteristics be linked to tumor invasiveness? Please output the segmentation mask.",/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/f446f0f2b743419f834590c028bd4021e660a1a0/tmp9q6zh9bo.jpg,,,2025-03-08 10:25:50.829552
What features indicate vascular invasion in gastric adenocarcinoma on H&E staining? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/ba1abe6cd1abe5f71398f61cfa4f01bec3d1a7a4/tmpsar_1fw2.jpg,,,2025-03-08 10:34:01.003427
What features indicate vascular invasion in gastric adenocarcinoma on H&E staining? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/66461da99d8018b015735d67c662ac6ac86cde5c/tmp0wks180y.jpg,,,2025-03-08 10:40:10.797630
How does the stromal nuclei density compare to that of the tumor nuclei in the tissue sample?,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/25b996d17fcd63f83faf8b3d2e14d05813e2127a/tmp9_ykp6dt.jpg,,,2025-04-10 14:04:32.121463
How does the stromal nuclei density compare to that of the tumor nuclei in the tissue sample?,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/36f11f7e491076112dddc97950c237d5b797fd46/tmpim01mz4s.jpg,,,2025-04-10 14:05:32.429198
How does the stromal nuclei density compare to that of the tumor nuclei in the tissue sample?,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/edb04e51638241c11e0af7e770d7b5c33614d2f4/tmpgdx1o58s.jpg,,,2025-04-10 14:07:11.207090
How does the stromal nuclei density compare to that of the tumor nuclei in the tissue sample?,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/91233f5d7d28172662626133f9e0b0d6087ba733/tmp3o1a0gt7.jpg,,,2025-04-10 14:07:23.806869
What subtype of gastric cancer is depicted in the provided pathology image? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/2787a2a207c04938af2970fe31f742b529054047/tmpwse8afbh.jpg,,,2025-04-10 14:08:24.511891
What subtype of gastric cancer is depicted in the provided pathology image?,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/6d033c5f47516f5d85d8b3da271bee3e7f62f9e9/tmppn1uof5j.jpg,,,2025-04-10 14:09:12.307240
What features indicate vascular invasion in gastric adenocarcinoma on H&E staining? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/ef20d14bf8693970a50f79425cd097dfe7cc49e3/tmp6xpizzk7.jpg,,,2025-04-10 14:10:54.250673
What subtype of gastric cancer is depicted in the provided pathology image?,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/661274c935f6de55c04318f78d3ecf104a4860af/tmp8v2xd2r_.jpg,,,2025-04-10 14:11:48.122787
What subtype of gastric cancer is depicted in the provided pathology image? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/8ea3e6ea573117d87dbb8a19a3333fa19e649d21/tmp6q511tyk.jpg,,,2025-04-10 14:12:10.117939
What subtype of gastric cancer is depicted in the provided pathology image? ,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/e7c97abe3c19d73973cfe51c2822783fb80df3ba/tmp2fvws0kw.jpg,,,2025-04-10 14:59:37.394614
What subtype of gastric cancer is depicted in the provided pathology image? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/7c926f0ab1aae3bea0c5d538caafe8872568332e/tmp5u6c29vr.jpg,,,2025-04-10 15:00:03.807546
What subtype of gastric cancer is depicted in the provided pathology image? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/72dcf3bf9edff99459a9cad5e747905ba1e95722/tmpaipsrd4z.jpg,,,2025-04-10 15:00:17.605552
How does the stromal nuclei density compare to that of the tumor nuclei in the tissue sample? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/402e928bd740815fcc42414e2d86c80967536586/tmp52pxjv0l.jpg,,,2025-04-10 15:01:34.700428
Please provide a recipe of waffle.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/ac9e86333c62ef66ac53326c3bf02091348be612/tmpgy79j2oi.jpg,,,2025-04-10 15:02:56.385344
Please segment the cat in the image. ,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/3a6368d687f864ad461ab9ab36adf5b37cac1d44/tmpwprdmea6.jpg,,,2025-04-10 15:05:16.396925
Tell me the disease and how you came to this conclusion? Highlight the important part that led to this conclusion.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/418349ecb64cb6d0a1b063f152a16b299b326b4c/tmpmw0owiwd.jpg,,,2025-04-10 15:07:11.862928
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/b8f44988779175ac48e3de947bfe81618661e0b1/tmpnf3yiq6e.jpg,,,2025-05-06 09:30:14.077120
What features indicate vascular invasion in gastric adenocarcinoma on H&E staining? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/7f62548af963df78aeef0649fd19c5845559eab4/tmp9lfwpisq.jpg,,,2025-05-06 09:31:31.276352
Are inflammatory cells surrounding necrotic tumor regions indicating an inflammatory response present? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/252ccaefbf34aa0ceb37104cce4afdd4b3aca9e8/tmp9co8muak.jpg,,,2025-05-06 10:08:20.740392
Which cells are not inflammatory? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/2976b7313b15a82d9af9806f5c1f790db9d7fafb/tmpqbhku0fq.jpg,,,2025-05-06 10:08:47.859746
What type of tissue ist this and are there any signs of cancer? IF Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/fd4d35df09ef66f9de0161d2272c6c4529c0234d/tmpcld23e23.jpg,,,2025-05-06 10:10:52.883690
What type of tissue ist this and are there any signs of cancer? If Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/80065d5fe0240ccddc8b4a5f01dfb9eac4844439/tmpsdvg_caj.jpg,,,2025-05-06 10:18:30.233822
What type of tissue ist this and are there any signs of cancer? If Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/017a902feec6cde2c30b1a030465b0c0e42d542c/tmp3urbgwrq.jpg,,,2025-05-06 10:18:41.493298
Which cells are not inflammatory oder cancerous? If Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/4281be7b3c77fc76f4fb63fffc27d6aa2b2ca212/tmpmxdkuhcj.jpg,,,2025-05-06 10:20:30.764878
Which cells are inflammatory? If Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/2b0cc43600aacef0087039e1b11bf90ac80a2282/tmpzvjopi7u.jpg,,,2025-05-06 10:20:47.445551
Which cells are not cancerous or inflammatory? If Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/2371d9a8b34b533cbde84ec0ce398ce6ca69f8e8/tmpwdevo2xy.jpg,,,2025-05-06 10:22:47.771013
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/3bac6ed985753777493d792a2e7f7bc3b0e1276f/tmpfs1dod3o.jpg,,,2025-05-06 10:23:30.774232
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/12478021ea019b3b13513e2ecb3744450e5ef58a/tmpi36_1u6y.jpg,,,2025-05-06 10:24:02.105482
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/6fe0ea913d3227e48ce0f1509b8e3166015730a2/tmpgqc1jaxk.jpg,,,2025-05-06 10:24:15.519508
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/9e6a71833e403b1c0d4201870514b01f91188acf/tmpj1jq3684.jpg,,,2025-05-06 10:24:25.620347
Where are the areas with concentrated inflammatory cells located? Please output segmentation mask and explain why.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/e33c9ca3cd2fcf1077f1bf5adc9f49b357c30130/tmpecs9dpmm.jpg,,,2025-05-06 10:24:43.184407
Where are the areas with concentrated inflammatory cells located? Please output segmentation mask and explain why.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/51a1cbbb7b7a605b071a51cc0db8374670690a9c/tmpnui5l6z1.jpg,,,2025-05-06 10:25:31.150520
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/67b5c752c5e053d85d70fe0ab29d1e2e9d8e41a0/tmpxgxfcm0a.jpg,,,2025-05-06 10:25:41.442506
Where are glandular structures? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/d7d5dfa234e7105f4dc70658481dbd2a1a9c4c2e/tmp5mb0pe7q.jpg,,,2025-05-06 10:27:11.972167
What type of cancers are present? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/453896621963cd900e7c6142fc442bcd631d3457/tmpy18xylvy.jpg,,,2025-05-06 10:27:35.100061
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/18607db56e09ca871e9937061bfc5fd055a4b32b/tmp5dk74nrr.jpg,,,2025-05-07 08:04:24.021359
"Are cancerous cells present? If yes, which type of cancer ist present. Please output segmentation mask.",/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/1ba31019134d11c6ba427bc34572805649e768ec/tmpneiq39d4.jpg,,,2025-05-07 08:06:08.942233
"Are cancerous cells present? If yes, which type of cancer ist present. Please output segmentation mask.",/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/e4ecab425f1b3afa7d354917456c4bd485d80e6e/tmpgm4iplqs.jpg,,,2025-05-07 08:06:22.223426
"Are cancerous cells present? If yes, which type of cancer ist present. Please output segmentation mask.",/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/166fd22c9b143c56592a2b7f7a2c421d0050372f/tmpu3ikyjvm.jpg,,,2025-05-07 08:06:32.454748
Is there a Food-Truck present? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/55cc347be8a9c4c738e9ceaeb126bd4bdafa1458/tmpx97s01cl.jpg,,,2025-05-07 08:44:13.416765
Is there a Food-Truck present? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/b9895837c50f5820015b6c38358ffe6f95ee3cd2/tmp5cr4e315.jpg,,,2025-05-07 08:44:27.624361
What subtype of gastric cancer is depicted in the provided pathology image?,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/95f154a7301b7d23a699982a1506958b50665423/tmpkx7qmk38.jpg,,,2025-05-08 09:22:39.057872
What subtype of gastric cancer is depicted in the provided pathology image? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/c49e0ee855c4342295fe774b831239e2690c2bfa/tmp6_f_2oud.jpg,,,2025-05-08 09:23:15.613780
What subtype of gastric cancer is depicted in the provided pathology image? ,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/23ede7e751d9ee9ceed6a451770b7e32f3046d1b/tmpvxyu3psp.jpg,,,2025-05-08 09:24:04.504462
What subtype of gastric cancer is depicted in the provided pathology image? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/829b7ec4a26f13af386be6ad55895a55f7134856/tmp9rl7o_x5.jpg,,,2025-05-08 09:24:55.081316
What subtype of gastric cancer is depicted in the provided pathology image? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/06bdb284c108354022d86cf648a5a63a1bb76916/tmp4h3c5eus.jpg,,,2025-05-08 09:28:24.460679
What subtype of gastric cancer is depicted in the provided pathology image? ,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/42857cd8224385f104dc62755fdaa42f098f27d6/tmpv85x0uxp.jpg,,,2025-05-08 09:29:12.007809
Where are the areas with concentrated inflammatory cells located? Please output segmentation mask and explain why.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/3713e79907862f57afba6354431ae91718966c89/tmpajhrzxb7.jpg,,,2025-05-08 09:36:01.104607
What subtype of gastric cancer is depicted in the provided pathology image? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/f36377d2cc26d636b01b2d1f4e198b94ca6e44eb/tmpxu3bidru.jpg,,,2025-05-08 09:42:13.689237
Can you segment the connective cell in this image? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/16ff86af09fdfd6eb7be9556cb5baa4b98b80369/tmp2dnr9kzy.jpg,,,2025-05-08 09:44:08.150743
Can you segment the lymphocyte cell in this image? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/1eb1883ad687afd3115af2e138d0391906c17d9e/tmph2qtgwsd.jpg,,,2025-05-08 09:45:00.655087
What are the possible diagnosis based on this picture?,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/55134cc5ace3202e203e43516376e14608c7d089/tmptq79396b.jpg,,,2025-05-08 09:46:38.752555
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/12d97b679f412ebefed4f9c07b61bd97ad5c9114/tmp55eyc_3i.jpg,,,2025-05-09 08:58:42.456969
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/98f5900eae2ce636078b54b10f3fc7dbe051ba4e/tmp30hpbi24.jpg,,,2025-05-13 09:24:35.764188
Can you segment the collagen? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/81ec4ba2867eaeedb5f95b47f87847c9e643b978/tmpk0rmu4as.jpg,,,2025-05-13 09:26:48.101544
What is your favoure waffle recipe? Please respond with the segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/71aafdd95797941a51fac01e4e14b30b05d92276/tmpuamu1nrk.jpg,,,2025-05-13 09:28:14.919026
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/956675390f61ac70bec9a28b6839ba80e1b1644c/tmp1c4n28sk.jpg,,,2025-06-05 07:39:47.838743
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/e3d6cd732098afa3c37a184bca6a16fbd22cf878/tmpjc6x66bn.jpg,,,2025-06-05 07:46:56.925956
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/26fb863440256ba66ada20d2202be63f3f527cdf/tmpgdov004a.jpg,,,2025-06-05 07:47:14.721837
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/632c2381e8dcd9652aed423d65cfd2ad027ff5e6/tmpb4w2fd8f.jpg,,,2025-06-05 07:47:27.495739
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/4f90e073e681b21bd81fb7877858e3f6e5efaf6c/tmpnhuuxhqe.jpg,,,2025-06-05 07:48:38.407258
How can epithelial cell nuclei be distinguished from surrounding components in an H&E stained image? Please output segmentation mask.,/mnt/eternus/users/Yu/project/iccv2025/PathVR/pathvr_v3/flagged/Input Image/71dd52a02271d4b5f057d3df2b524c08b7f08fcc/tmp3yh6klye.jpg,,,2025-06-05 07:49:15.716063
